K,d,mean_acc,mean_acc_ci_low,mean_acc_ci_high,mean_rs_z_a,mean_rs_z_a_ci_low,mean_rs_z_a_ci_high,mean_kla_z_l,mean_kla_z_l_ci_low,mean_kla_z_l_ci_high,mean_kla_a_l,mean_kla_a_l_ci_low,mean_kla_a_l_ci_high
0,4,32.245199775696,30.797636785507,33.766618156433,0.038422126224,0.038418911898,0.038425195258,0.001682630121,0.001396738957,0.001998081896,0.047079462651,0.047079462651,0.047079462651
0,8,37.296897888184,36.499261093140,38.080132684708,0.054288302413,0.054280195641,0.054295399795,0.002119689876,0.001914670781,0.002309958402,0.047079462651,0.047079462651,0.047079462651
0,16,45.997044372559,44.874445333481,47.016615686417,0.076668605527,0.076652369676,0.076683264999,0.003897735690,0.003660199007,0.004125155518,0.047079462651,0.047079462651,0.047079462651
0,32,51.004430007934,49.276217651367,52.926142940521,0.108123705640,0.108105002993,0.108143046761,0.004825997531,0.004571304928,0.005117705935,0.047079462651,0.047079462651,0.047079462651
0,64,58.818315124512,56.602289562225,61.049481239319,0.151992944241,0.151960008140,0.152022518976,0.007257569140,0.006959999555,0.007576651659,0.047079462651,0.047079462651,0.047079462651
0,128,66.898081588745,65.731169090271,68.109677114487,0.212521130026,0.212461382399,0.212584130322,0.009975401509,0.009646219405,0.010295098112,0.047079462651,0.047079462651,0.047079462651
0,256,74.017723846435,72.879983501434,75.170234699249,0.294003247495,0.293944754365,0.294069819409,0.013899604394,0.013645276769,0.014143401696,0.047079462651,0.047079462651,0.047079462651
0,512,76.115213775635,75.081241607666,77.208640289307,0.398861992562,0.398796609706,0.398935359130,0.018431961508,0.018254725697,0.018621894862,0.047079462651,0.047079462651,0.047079462651
0,1024,78.980798339844,78.360414886474,79.601181793213,0.523946801253,0.523879190710,0.524022878540,0.024843799572,0.024497922325,0.025207868443,0.047079462651,0.047079462651,0.047079462651
0,2048,81.019202423096,80.221566009522,81.742982501984,0.656358805437,0.656279534424,0.656433405022,0.030832784238,0.030595606223,0.031039793957,0.047079462651,0.047079462651,0.047079462651
0,4096,82.186113739014,81.683898906708,82.644015502930,0.775969184097,0.775925037168,0.776017031594,0.036479872688,0.036315091998,0.036664998432,0.047079462651,0.047079462651,0.047079462651
0,8192,83.559822845459,82.836041259765,84.283604450226,0.866969369343,0.866917903500,0.867030787419,0.040750582103,0.040610555413,0.040900888826,0.047079462651,0.047079462651,0.047079462651
0,16384,83.929099273682,83.101919555664,84.549482727051,0.926408230415,0.926380155853,0.926439402867,0.043664802104,0.043525648861,0.043790760575,0.047079462651,0.047079462651,0.047079462651
0,32768,84.091580200195,83.456426219940,84.668020629883,0.961101192774,0.961084116883,0.961120510705,0.045251442058,0.045208707506,0.045302257467,0.047079462651,0.047079462651,0.047079462651
2,4,37.740029907227,36.203841772080,39.247046270371,0.077498849616,0.076707758559,0.078437037297,0.010672050204,0.008944460699,0.012300035127,0.165453465616,0.165453465616,0.165453465616
2,8,47.296897125244,45.923189916611,48.951993198395,0.112456588090,0.111300294779,0.113716654521,0.017304428848,0.015314361019,0.019288567567,0.165453465616,0.165453465616,0.165453465616
2,16,58.980796051026,57.961224346161,60.103764734268,0.161683738729,0.160954885557,0.162343048107,0.027701553812,0.026177930714,0.029167903558,0.165453465616,0.165453465616,0.165453465616
2,32,69.926145935059,68.847489929199,71.033973712921,0.226962148398,0.225980516345,0.227947992448,0.037064937134,0.035315313021,0.038795353031,0.165453465616,0.165453465616,0.165453465616
2,64,75.169866180420,74.254062633515,76.041357440949,0.311887128755,0.311227638588,0.312552902808,0.051619713414,0.049758252071,0.054015057106,0.165453465616,0.165453465616,0.165453465616
2,128,79.379615783692,78.153249359131,80.591210193634,0.423261241381,0.422364897515,0.424051180144,0.069272580587,0.066041081364,0.072418655718,0.165453465616,0.165453465616,0.165453465616
2,256,79.881832885742,78.921714782715,80.856722259521,0.552120231141,0.551670208903,0.552582798099,0.091723561239,0.089663907794,0.093600058864,0.165453465616,0.165453465616,0.165453465616
2,512,82.392910003662,81.388110332489,83.367797851562,0.683021178123,0.682452868251,0.683551990346,0.110702595223,0.109573046610,0.111801552104,0.165453465616,0.165453465616,0.165453465616
2,1024,84.298374176025,83.603765907287,84.889215850830,0.797862837960,0.797580236098,0.798185703124,0.132849113054,0.131333026241,0.134436833747,0.165453465616,0.165453465616,0.165453465616
2,2048,84.918756866455,84.135523204803,85.672450218201,0.881903237968,0.881780936895,0.882045019581,0.145917180186,0.144852956046,0.147013385431,0.165453465616,0.165453465616,0.165453465616
2,4096,85.169865417480,84.534711456299,85.775477600097,0.935540866624,0.935428240932,0.935657402795,0.154990744421,0.154142567924,0.155792308605,0.165453465616,0.165453465616,0.165453465616
2,8192,85.391430664062,84.579023723602,86.100440216064,0.966137224670,0.966072058909,0.966199256983,0.160049718880,0.159630461388,0.160463991303,0.165453465616,0.165453465616,0.165453465616
2,16384,85.819791412354,85.051698284149,86.573852577210,0.982646161948,0.982617574727,0.982673907149,0.162449517902,0.162005742008,0.162814525649,0.165453465616,0.165453465616,0.165453465616
2,32768,85.775479888916,85.317576580048,86.233382434845,0.991216376501,0.991192130830,0.991242882730,0.164149214616,0.163987849229,0.164285350737,0.165453465616,0.165453465616,0.165453465616
4,4,39.069423294067,37.001108140945,40.915803527832,0.089888950331,0.088179440923,0.091839005714,0.016379016681,0.013573859738,0.018970619210,0.213688079317,0.213688079317,0.213688079317
4,8,50.945344924927,49.556497201919,52.422449121475,0.131090667118,0.128836439091,0.133081580619,0.026120494706,0.023413060648,0.028779727325,0.213688079317,0.213688079317,0.213688079317
4,16,62.821269989013,61.550589733124,64.003324499130,0.188645419498,0.187328484590,0.189964960577,0.041489147574,0.039136653626,0.043592476626,0.213688079317,0.213688079317,0.213688079317
4,32,72.378138732910,70.856351451874,73.855613689423,0.264179447600,0.262230285442,0.266108413357,0.055713415123,0.053170105570,0.058683237359,0.213688079317,0.213688079317,0.213688079317
4,64,78.803544616699,77.724888591766,79.852658824921,0.359340428816,0.358545342755,0.360282466418,0.076995176132,0.073911210105,0.080677870030,0.213688079317,0.213688079317,0.213688079317
4,128,80.413587951660,78.847856903076,81.891062927246,0.480514866285,0.478948893579,0.481835028075,0.101626631270,0.097310482243,0.105909159345,0.213688079317,0.213688079317,0.213688079317
4,256,82.348596191406,81.786927051544,82.851181774139,0.613741507395,0.612729214948,0.614736455461,0.131511456013,0.128592075793,0.134120494410,0.213688079317,0.213688079317,0.213688079317
4,512,84.121121215820,83.441653423309,84.800589008331,0.739295754250,0.738646578543,0.739911688210,0.154960532063,0.153651497830,0.156109537927,0.213688079317,0.213688079317,0.213688079317
4,1024,85.347119140625,84.829762306213,85.893647766113,0.840906484262,0.840544136127,0.841278741320,0.180871143784,0.178953883646,0.182819917666,0.213688079317,0.213688079317,0.213688079317
4,2048,85.051697540283,84.371860523224,85.790248126984,0.910080833626,0.909894203123,0.910276819260,0.194434384536,0.193106468812,0.195815335487,0.213688079317,0.213688079317,0.213688079317
4,4096,85.524369812012,84.859671783447,86.277693958283,0.952020217102,0.951883504226,0.952152972981,0.203762606969,0.202689091653,0.204791850942,0.213688079317,0.213688079317,0.213688079317
4,8192,85.819792938232,85.110782623291,86.558345031738,0.975096064362,0.975031528328,0.975166626751,0.208538498575,0.208005517976,0.209102929564,0.213688079317,0.213688079317,0.213688079317
4,16384,85.878876495361,85.169867687225,86.573115558624,0.987319225657,0.987285091522,0.987350698295,0.210832413190,0.210258689832,0.211291021971,0.213688079317,0.213688079317,0.213688079317
4,32768,85.819791412353,85.155094127655,86.558714294433,0.993613537327,0.993589193886,0.993637891931,0.212491272078,0.212288122614,0.212666499410,0.213688079317,0.213688079317,0.213688079317
8,4,43.530279922485,41.506277074814,45.480058288574,0.108405267113,0.104134731988,0.112995672211,0.027476690388,0.022454257698,0.032068754594,0.286228949921,0.286228949921,0.286228949921
8,8,55.258490753174,53.751843261719,56.898815937042,0.159967318146,0.155056803187,0.164354733757,0.043286163372,0.038617088784,0.047933689778,0.286228949921,0.286228949921,0.286228949921
8,16,67.592319107056,65.906572656631,69.187593078613,0.230107845303,0.227233664109,0.232803032512,0.067546041599,0.064230889710,0.071012704714,0.286228949921,0.286228949921,0.286228949921
8,32,75.524372100830,73.855244445801,77.075331878662,0.320714938279,0.316894552947,0.324513807373,0.090354670322,0.086130906631,0.094680839270,0.286228949921,0.286228949921,0.286228949921
8,64,80.930575561523,80.369276409149,81.565728816986,0.429334437796,0.427785459623,0.431063345570,0.123425757689,0.118570812294,0.128720170311,0.286228949921,0.286228949921,0.286228949921
8,128,81.462333679199,80.044313812256,82.909896087646,0.559950213500,0.557135986454,0.562561077572,0.159060205794,0.151976023686,0.165580660796,0.286228949921,0.286228949921,0.286228949921
8,256,83.943868255615,83.160633068085,84.697192420960,0.692457022760,0.690653774570,0.694415172641,0.198678945052,0.194816499479,0.202076233333,0.286228949921,0.286228949921,0.286228949921
8,512,84.785819244385,84.120751953125,85.465657043457,0.804669058348,0.803861163987,0.805418122836,0.226367052041,0.224854703502,0.227770587156,0.286228949921,0.286228949921,0.286228949921
8,1024,85.391431427002,84.638107299805,86.263293457031,0.886839455279,0.886346325633,0.887403570349,0.255569744116,0.252905491303,0.258189635272,0.286228949921,0.286228949921,0.286228949921
8,2048,85.347117614746,84.726734161377,85.908786773681,0.938246218890,0.937985200074,0.938539267565,0.268507790895,0.266853151820,0.270162359099,0.286228949921,0.286228949921,0.286228949921
8,4096,85.406201934814,84.534340705871,86.204206867218,0.967778574975,0.967628268698,0.967941592068,0.277510654534,0.276208448596,0.278720856663,0.286228949921,0.286228949921,0.286228949921
8,8192,85.952732086182,85.405833435059,86.514402732849,0.983451459882,0.983395116882,0.983512605263,0.281629494281,0.280974467793,0.282358361308,0.286228949921,0.286228949921,0.286228949921
8,16384,86.041358184815,85.273263530731,86.735597248077,0.991628753432,0.991590048332,0.991665756007,0.283723096241,0.283143554514,0.284238146811,0.286228949921,0.286228949921,0.286228949921
8,32768,86.159525299072,85.716393280029,86.602657337189,0.995807033869,0.995787871101,0.995826314164,0.285197488947,0.284956255940,0.285411577038,0.286228949921,0.286228949921,0.286228949921
16,4,46.632200241089,44.667281341553,48.641432943344,0.136428531348,0.127634489253,0.145441519546,0.047026245508,0.038662432385,0.054248791799,0.370307963404,0.370307963404,0.370307963404
16,8,58.478580474853,56.676511754990,60.576070404053,0.204320717773,0.195061403229,0.213511850079,0.073233949392,0.066501682350,0.079830384566,0.370307963404,0.370307963404,0.370307963404
16,16,71.166913604736,69.539883365631,73.028065509796,0.292064965044,0.285978351174,0.298871621978,0.110875095992,0.105712516980,0.116730244110,0.370307963404,0.370307963404,0.370307963404
16,32,79.217133331299,78.212702159882,80.384415435791,0.400582424681,0.393491032970,0.407468706364,0.145616488230,0.139308480491,0.152122956707,0.370307963404,0.370307963404,0.370307963404
16,64,81.964549255371,81.181313343048,82.688331604004,0.525453318706,0.521877525926,0.529170069306,0.195631593840,0.189187234761,0.202874604589,0.370307963404,0.370307963404,0.370307963404
16,128,82.747414398193,81.949408702850,83.633676910400,0.659495651509,0.654205975930,0.664520648199,0.243037898649,0.234347428025,0.251412166888,0.370307963404,0.370307963404,0.370307963404
16,256,84.121121978760,83.456425457001,84.800589771271,0.780436706679,0.777905720642,0.783280167205,0.289444100022,0.284467796155,0.293464551836,0.370307963404,0.370307963404,0.370307963404
16,512,85.110781097412,84.549481964112,85.731534557342,0.869215910979,0.868416987737,0.870050143000,0.317219208154,0.315488144103,0.318646442088,0.370307963404,0.370307963404,0.370307963404
16,1024,85.539143371582,84.933531169891,86.159526824951,0.928170851811,0.927555434579,0.928824831249,0.346059850995,0.342941408370,0.348854151135,0.370307963404,0.370307963404,0.370307963404
16,2048,85.480058288574,84.830133800507,86.129983539581,0.962021921818,0.961755357903,0.962292438283,0.356279073342,0.354643686924,0.357943898435,0.370307963404,0.370307963404,0.370307963404
16,4096,85.480056762695,84.800588226318,86.248521442413,0.980527269547,0.980380971807,0.980699982223,0.363666128161,0.362330976594,0.364971997896,0.370307963404,0.370307963404,0.370307963404
16,8192,85.627767944336,85.169866943360,86.115582275391,0.990064780087,0.990007334065,0.990128344905,0.366774884506,0.366014660363,0.367547508363,0.370307963404,0.370307963404,0.370307963404
16,16384,85.760707855225,84.992613220215,86.469717426300,0.995012031543,0.994974821629,0.995047310358,0.368451843376,0.367975253517,0.368913504825,0.370307963404,0.370307963404,0.370307963404
16,32768,86.056129455566,85.480059795380,86.676512908936,0.997513528674,0.997495259593,0.997527555220,0.369511588627,0.369295666373,0.369704575879,0.370307963404,0.370307963404,0.370307963404
32,4,50.502214813232,47.738921289444,52.807606143951,0.179927782362,0.165067940299,0.197284517275,0.076040638873,0.064241272537,0.087499700281,0.431183649050,0.431183649050,0.431183649050
32,8,62.880353546143,61.610042562485,64.388109998703,0.265656664912,0.253045919148,0.278412849151,0.114392658215,0.105694616219,0.122908223696,0.431183649050,0.431183649050,0.431183649050
32,16,72.082718658447,70.856352996826,73.338627605438,0.374764479655,0.361814800791,0.388431405926,0.166075767103,0.157645569655,0.174528726633,0.431183649050,0.431183649050,0.431183649050
32,32,79.734120178223,78.064623241424,81.257015266418,0.499562075415,0.487678398646,0.510143850305,0.212143099031,0.203262376856,0.220593904193,0.431183649050,0.431183649050,0.431183649050
32,64,81.905464935303,80.457903270722,83.146233367920,0.638170881224,0.633251744396,0.643154459720,0.277017062695,0.268896107430,0.284711337094,0.431183649050,0.431183649050,0.431183649050
