backbone,class,is_majority_class,true_count,true_share_pct,pred_count,pred_share_pct,correct_count,recall_pct
gcn,0,False,217,11.421052631578947,5,0.2631578947368421,0,0.0
gcn,1,False,325,17.105263157894736,62,3.263157894736842,7,2.1538461538461537
gcn,2,False,412,21.684210526315788,121,6.368421052631579,27,6.553398058252427
gcn,3,False,471,24.789473684210524,237,12.473684210526317,59,12.526539278131635
gcn,4,True,475,25.0,1475,77.63157894736842,360,75.78947368421053
sage,0,False,217,11.421052631578947,0,0.0,0,0.0
sage,1,False,325,17.105263157894736,17,0.894736842105263,7,2.1538461538461537
sage,2,False,412,21.684210526315788,10,0.5263157894736842,5,1.2135922330097086
sage,3,False,471,24.789473684210524,1130,59.473684210526315,275,58.3864118895966
sage,4,True,475,25.0,743,39.10526315789474,201,42.31578947368421
gat,0,False,217,11.421052631578947,1,0.05263157894736842,1,0.4608294930875576
gat,1,False,325,17.105263157894736,14,0.7368421052631579,6,1.8461538461538463
gat,2,False,412,21.684210526315788,18,0.9473684210526316,5,1.2135922330097086
gat,3,False,471,24.789473684210524,1077,56.684210526315795,263,55.838641188959656
gat,4,True,475,25.0,790,41.578947368421055,203,42.73684210526316
