source,line_label,mechanism,mechanism_label,x_eps,x_eps_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
ldp,LDP-HDS,hds,HDS,6,6,10,20,239,4,64,0.001,0.01,0.5,none,83.84785690307618,2.2758791250533306,83.22008819580078,1.963347871955581,82.28194124221802,83.96639595031739,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=hds/x_eps=6/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_c9b851530dfc7a60,ldp|hds|6,ldp|hds|6
ldp,LDP-HDS,hds,HDS,7,7,11,20,250,3,64,0.0001,0.01,0.25,none,84.46085586547852,1.5489038653639327,84.03988075256348,1.3084768933057316,83.47082595825195,84.5864101409912,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=hds/x_eps=7/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_afcea6715f0fc99c,ldp|hds|7,ldp|hds|7
ldp,LDP-HDS,hds,HDS,8,8,12,20,251,3,64,0.0001,0.01,0.5,none,84.59379539489746,1.6266511049512238,84.08419303894043,1.5645960637854717,83.41155736923218,84.74907416343689,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=hds/x_eps=8/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_55db5430131000e7,ldp|hds|8,ldp|hds|8
ldp,LDP-HDS,hds,HDS,9,9,13,20,251,4,64,0.0001,0.01,0.5,none,84.51993980407715,1.6660601075516568,84.02511062622071,1.4466859960119387,83.36041373252868,84.58641053199769,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=hds/x_eps=9/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_ea049e3c72909b3f,ldp|hds|9,ldp|hds|9
ldp,LDP-HDS,hds,HDS,10,10,14,20,232,4,64,0.001,0.0001,0.25,none,84.15066413879394,1.8337286693463581,83.49335174560547,1.5394401554930282,82.86502911567688,84.12850608825684,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=hds/x_eps=10/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_7e689bd1570c8901,ldp|hds|10,ldp|hds|10
sim,SIM-HDS,hds,HDS,0.00001,1e-5,0,20,88,3,4,0.001,0.0001,0.25,none,78.04283561706544,2.364473223335438,77.11964569091796,2.150109757510465,76.19627000808715,78.0280647277832,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=1e-05/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_01bcf4f9ad4ba40b,sim|hds|0.00001,sim|hds|0.00001
sim,SIM-HDS,hds,HDS,0.0001,1e-4,1,20,94,3,4,0.001,0.01,0.25,none,78.0502212524414,2.321897265899415,77.34121170043946,2.2285252591646194,76.42485270500184,78.2570171546936,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.0001/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_4331303eb21117ac,sim|hds|0.0001,sim|hds|0.0001
sim,SIM-HDS,hds,HDS,0.001,0.001,2,20,94,1,4,0.001,0.01,0.25,none,78.08714866638184,2.280919563403111,77.3412109375,2.091908014630319,76.46214791297912,78.2204582118988,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.001/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_31c9e9be5ee1fafd,sim|hds|0.001,sim|hds|0.001
sim,SIM-HDS,hds,HDS,0.01,0.01,3,20,94,4,4,0.001,0.01,0.25,none,78.16100425720215,2.2657654931019118,77.3042823791504,2.2150223359141856,76.40306432723999,78.3677978515625,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.01/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_046ccf7bfba4451c,sim|hds|0.01,sim|hds|0.01
sim,SIM-HDS,hds,HDS,0.1,0.1,4,20,94,3,4,0.001,0.01,0.25,none,78.58936500549316,1.986648347362082,77.59970436096191,1.9344019534115986,76.77991177558899,78.41229665756225,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=0.1/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_4741abdca3bc7459,sim|hds|0.1,sim|hds|0.1
sim,SIM-HDS,hds,HDS,1,1,5,20,250,4,64,0.0001,0.01,0.25,none,83.71491737365723,1.5364549074130867,83.50073852539063,1.5410991429284193,82.82108649253846,84.12112199783324,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=1/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_1ff8dc2158eba7d9,sim|hds|1,sim|hds|1
sim,SIM-HDS,hds,HDS,2,2,6,20,240,2,64,0.001,0.01,0.75,none,83.75184593200683,2.0127902099861688,83.88478469848633,1.7769903913146663,83.08659399032594,84.56425285339355,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=2/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_78dfc6447bc15f8b,sim|hds|2,sim|hds|2
sim,SIM-HDS,hds,HDS,3,3,7,20,227,1,64,0.01,0.01,0.5,none,84.20974807739258,3.128607832859981,83.23485832214355,4.172244269489055,81.3288394832611,84.60154916763305,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=3/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_33b9e1ae51e6ddfa,sim|hds|3,sim|hds|3
