table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table6,FeatFree-HOA,citeseer,gat,800,hoa,12345,69.47115325927734,71.39423370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12346,64.42308044433594,64.78365325927734
table6,FeatFree-HOA,citeseer,gat,800,hoa,12347,65.74519348144531,63.94230651855469
table6,FeatFree-HOA,citeseer,gat,800,hoa,12348,65.625,65.2644271850586
table6,FeatFree-HOA,citeseer,gat,800,hoa,12349,62.86057662963867,64.66346740722656
table6,FeatFree-HOA,citeseer,gat,800,hoa,12350,62.980770111083984,63.94230651855469
table6,FeatFree-HOA,citeseer,gat,800,hoa,12351,65.74519348144531,63.1009635925293
table6,FeatFree-HOA,citeseer,gat,800,hoa,12352,70.67308044433594,68.26923370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12353,67.30769348144531,66.70673370361328
table6,FeatFree-HOA,citeseer,gat,800,hoa,12354,68.14904022216797,68.99038696289062
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12345,70.55288696289062,70.79327392578125
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12346,68.5096206665039,67.54808044433594
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12347,70.3125,67.66827392578125
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12348,71.75481414794922,69.59134674072266
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12349,65.86538696289062,68.14904022216797
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12350,67.42788696289062,68.5096206665039
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12351,65.625,66.22596740722656
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12352,70.3125,68.3894271850586
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12353,70.55288696289062,68.5096206665039
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12354,68.14904022216797,70.0721206665039
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12345,70.67308044433594,70.67308044433594
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12346,68.87019348144531,68.5096206665039
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12347,70.0721206665039,66.46634674072266
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12348,68.5096206665039,68.5096206665039
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12349,67.54808044433594,69.11058044433594
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12350,67.54808044433594,67.78846740722656
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12351,67.54808044433594,67.54808044433594
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12352,69.59134674072266,67.54808044433594
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12353,71.6346206665039,68.75
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12354,67.90865325927734,69.71154022216797
table6,FeatFree-HOA,facebook,gat,800,hoa,12345,93.60982513427734,92.84442901611328
table6,FeatFree-HOA,facebook,gat,800,hoa,12346,93.18263244628906,92.64862823486328
table6,FeatFree-HOA,facebook,gat,800,hoa,12347,93.12922668457031,92.75543212890625
table6,FeatFree-HOA,facebook,gat,800,hoa,12348,92.8978271484375,93.04022979736328
table6,FeatFree-HOA,facebook,gat,800,hoa,12349,92.38162994384766,93.14702606201172
table6,FeatFree-HOA,facebook,gat,800,hoa,12350,93.77002716064453,92.86222839355469
table6,FeatFree-HOA,facebook,gat,800,hoa,12351,92.5240249633789,92.45282745361328
