point_id,figure_id,dataset,backbone,seed,val_acc,test_acc,source_job_id
f3_3dc570c67829d976,3,cora,sage,12345,73.55982208251953,74.0029525756836,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12346,78.28656005859375,75.92318725585938,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12347,79.3205337524414,78.43426513671875,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12348,80.35450744628906,77.69571685791016,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12349,79.61595153808594,80.20679473876953,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12350,75.48005676269531,75.18463897705078,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12351,74.44608306884766,77.10487365722656,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12352,81.24076843261719,79.02510833740234,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12353,77.10487365722656,80.05908203125,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12354,77.84342956542969,80.79763793945312,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12355,77.2525863647461,75.18463897705078,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12356,80.50221252441406,77.10487365722656,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12357,76.95716094970703,78.28656005859375,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12358,74.88921356201172,74.15066528320312,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12359,75.33235168457031,74.29837799072266,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12360,78.87740325927734,82.27474212646484,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12361,81.68389892578125,80.20679473876953,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12362,78.87740325927734,77.99113464355469,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12363,80.94534301757812,77.2525863647461,f4b8c88a4163
f3_3dc570c67829d976,3,cora,sage,12364,78.13884735107422,72.96897888183594,f4b8c88a4163
f3_fe610e7837d46655,3,cora,sage,12345,73.8552474975586,76.0708999633789,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12346,78.72969055175781,76.6617431640625,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12347,79.3205337524414,78.72969055175781,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12348,79.911376953125,77.99113464355469,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12349,79.911376953125,80.35450744628906,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12350,75.48005676269531,75.33235168457031,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12351,74.44608306884766,76.6617431640625,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12352,81.24076843261719,79.17282104492188,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12353,76.95716094970703,79.4682388305664,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12354,78.43426513671875,80.94534301757812,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12355,77.69571685791016,74.74150848388672,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12356,80.79763793945312,77.2525863647461,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12357,77.2525863647461,78.13884735107422,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12358,74.59379577636719,74.29837799072266,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12359,75.33235168457031,74.44608306884766,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12360,78.72969055175781,82.27474212646484,c9550779117c
f3_fe610e7837d46655,3,cora,sage,12361,81.38848114013672,79.76366424560547,c9550779117c
