source,backbone,dataset,x_eps,x_index,line_label,pipeline,smoother,feature_dim,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,test_acc_mean,test_acc_ci_low,test_acc_ci_high,test_acc_std,test_acc_min,test_acc_max,val_acc_mean,val_acc_ci_low,val_acc_ci_high,n,source_job_dir,actual_verify_rank,ci_method,point_id,bootstrap_key,bootstrap_val_key
main_add_10seed,gat,cora,0.1,2,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,200,32,0.001,0.001,0.5,none,79.30576095581054,77.14881898880004,81.30022050857544,3.6338297059127824,71.78730010986328,85.52436828613281,79.12850646972656,77.13367687225342,80.9900276184082,10,,,,f1_90e160a32e29a924,main|gat|figure3_pipeline1|cora|0.1,main-val|gat|figure3_pipeline1|cora|0.1
main_add_10seed,gat,cora,1.0,3,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,146,16,0.01,0.0,0.5,none,81.6838981628418,79.86705930709839,83.32348407745361,2.921201523559803,75.92318725585938,85.22895050048828,82.17134323120118,80.2658775138855,83.8408416748047,10,,,,f1_afeced9ba0926d17,main|gat|figure3_pipeline1|cora|1.0,main-val|gat|figure3_pipeline1|cora|1.0
main_add_10seed,gat,cora,10.0,9,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,155,16,0.01,0.01,0.5,none,84.88921661376953,84.19497680664062,85.6129981994629,1.25152611473036,83.01329040527344,86.55834197998047,85.24372100830078,84.44534454345703,85.93796083450317,10,,,,f1_2cead9718b5313e9,main|gat|figure3_pipeline1|cora|10.0,main-val|gat|figure3_pipeline1|cora|10.0
main_add_10seed,gat,cora,2.0,4,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,156,16,0.01,0.01,0.75,none,85.11078262329102,84.35708997726441,85.93796157836914,1.4095840162461195,83.60413360595703,87.44461059570312,84.711962890625,83.94386899948121,85.49482803344726,10,,,,f1_cdf6a4069c91efdd,main|gat|figure3_pipeline1|cora|2.0,main-val|gat|figure3_pipeline1|cora|2.0
main_add_10seed,gat,cora,3.0,5,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,156,16,0.01,0.01,0.75,none,84.83013229370117,84.18020629882812,85.49482879638671,1.1610909999296442,82.7178726196289,86.55834197998047,85.02215576171875,84.26846239089966,85.68722230911254,10,,,,f1_68ba528ae8f53769,main|gat|figure3_pipeline1|cora|3.0,main-val|gat|figure3_pipeline1|cora|3.0
main_add_10seed,gat,cora,4.0,6,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,154,16,0.01,0.01,0.25,none,84.35745849609376,83.67799070358276,85.03692705154418,1.192811845629309,82.42245483398438,86.1152114868164,84.66764907836914,83.94349821090698,85.36188888549805,10,,,,f1_b91af11b8b0e6a85,main|gat|figure3_pipeline1|cora|4.0,main-val|gat|figure3_pipeline1|cora|4.0
main_add_10seed,gat,cora,6.0,7,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,155,16,0.01,0.01,0.5,none,84.9926139831543,84.44571533203124,85.61299896240234,1.0449351066426136,83.8995590209961,86.55834197998047,85.15509490966797,84.34268798828126,85.90878753662109,10,,,,f1_a197433838cb96b6,main|gat|figure3_pipeline1|cora|6.0,main-val|gat|figure3_pipeline1|cora|6.0
main_add_10seed,gat,cora,8.0,8,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,117,8,0.01,0.001,0.75,none,84.85967559814453,84.1654365348816,85.62813949584961,1.2938145458284167,82.7178726196289,87.44461059570312,84.93352890014648,84.223779296875,85.58345491409301,10,,,,f1_59f0b077c6539b13,main|gat|figure3_pipeline1|cora|8.0,main-val|gat|figure3_pipeline1|cora|8.0
main_add_10seed,gat,facebook,0.001,0,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,79,4,0.01,0.001,0.25,none,83.5617660522461,82.2445278930664,84.72236660003662,2.1125134135193258,80.24208068847656,86.13385772705078,84.09042358398438,82.96003826141359,85.13349843978882,10,,,,f1_5398d67f6d3e7b41,main|gat|figure3_pipeline1|facebook|0.001,main-val|gat|figure3_pipeline1|facebook|0.001
main_add_10seed,gat,facebook,0.01,1,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,91,4,0.001,0.001,0.25,none,85.75827865600586,84.71867399215698,86.72681550979614,1.685715194035846,82.91207122802734,87.94944763183594,86.36703567504883,85.37375541687011,87.33361688613891,10,,,,f1_c1ce72001de7c18a,main|gat|figure3_pipeline1|facebook|0.01,main-val|gat|figure3_pipeline1|facebook|0.01
