source,epsilon,epsilon_label,scale_exponent,norm_scale,norm_scale_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
figure5_heter,0.0001,$\epsilon=10^{-4}$,-6,0.015625,$2^{-6}$,0,10,8,5,0,0.01,0.001,0.5,none,21.562830543518068,2.066146976450203,20.929251289367677,1.6562560970150295,20.02112025260925,21.900740246772767,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.015625/smoother=hoa/backbone=sage/use_nfr=false,f7_1bfeff69ecfc3fc3,0.0001|-6,0.0001|-6
figure5_heter,0.0001,$\epsilon=10^{-4}$,-5,0.03125,$2^{-5}$,1,10,8,5,0,0.01,0.001,0.5,none,21.562830543518068,2.066146976450203,20.929251289367677,1.6562560970150295,19.92608317375183,21.869193458557127,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.03125/smoother=hoa/backbone=sage/use_nfr=false,f7_a65cbbb1bc1e879d,0.0001|-5,0.0001|-5
figure5_heter,0.0001,$\epsilon=10^{-4}$,-4,0.0625,$2^{-4}$,2,10,8,5,0,0.01,0.001,0.5,none,21.562830543518068,2.066146976450203,20.929251289367677,1.6562560970150295,19.910243606567384,21.832102584838868,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.0625/smoother=hoa/backbone=sage/use_nfr=false,f7_8cfc3c64ed65c508,0.0001|-4,0.0001|-4
figure5_heter,0.0001,$\epsilon=10^{-4}$,-3,0.125,$2^{-3}$,3,10,8,5,0,0.01,0.001,0.5,none,21.562830543518068,2.066146976450203,20.929251289367677,1.6562560970150295,19.973205552101135,21.87962112426758,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.125/smoother=hoa/backbone=sage/use_nfr=false,f7_0e86c12796dffab2,0.0001|-3,0.0001|-3
figure5_heter,0.0001,$\epsilon=10^{-4}$,-2,0.25,$2^{-2}$,4,10,8,5,0,0.01,0.001,0.5,none,21.557550621032714,2.0572604195966777,20.929251289367677,1.6562560970150295,19.94192237854004,21.85335389614105,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.25/smoother=hoa/backbone=sage/use_nfr=false,f7_eb7e5ea5c4d43e18,0.0001|-2,0.0001|-2
figure5_heter,0.0001,$\epsilon=10^{-4}$,-1,0.5,$2^{-1}$,5,10,8,5,0,0.01,0.001,0.5,none,21.557550621032714,2.0572604195966777,20.929251289367677,1.6562560970150295,19.898364181518556,21.842662243843076,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=0.5/smoother=hoa/backbone=sage/use_nfr=false,f7_c4789d0fa876b87f,0.0001|-1,0.0001|-1
figure5_heter,0.0001,$\epsilon=10^{-4}$,0,1,$2^{0}$,6,10,8,5,0,0.01,0.001,0.5,none,21.45723400115967,2.1873202200256054,21.008448600769043,1.5797299826695568,20.020988073349,21.858897428512574,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=1/smoother=hoa/backbone=sage/use_nfr=false,f7_f47bf026bd0c7085,0.0001|0,0.0001|0
figure5_heter,0.0001,$\epsilon=10^{-4}$,1,2,$2^{1}$,7,10,8,5,0,0.01,0.001,0.5,none,21.478353118896486,2.163341843479318,21.008448600769043,1.575017326998972,20.08962554931641,21.884900856018067,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=2/smoother=hoa/backbone=sage/use_nfr=false,f7_fae3c8a158de3273,0.0001|1,0.0001|1
figure5_heter,0.0001,$\epsilon=10^{-4}$,2,4,$2^{2}$,8,10,8,5,0,0.01,0.001,0.5,none,21.473073768615723,2.1746589966302246,21.066526412963867,1.618765889806505,20.08434561729431,21.98006935119629,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=4/smoother=hoa/backbone=sage/use_nfr=false,f7_3c7a8f671b14d307,0.0001|2,0.0001|2
figure5_heter,0.0001,$\epsilon=10^{-4}$,3,8,$2^{3}$,9,10,8,5,0,0.01,0.001,0.5,none,21.536431884765626,2.2274865475467607,21.03484764099121,1.5407704088504235,20.07378616333008,21.958950052261354,historical/rebuttal_experiments/figure5_heter/figure5.yaml/dataset=attributedgraph-flickr/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=true/norm_scale=8/smoother=hoa/backbone=sage/use_nfr=false,f7_182814c7ae825983,0.0001|3,0.0001|3
