method,backbone,pipeline,candidate_id,source_job_dir,repeat_id,seed,best_epoch,epochs_ran,test_n,num_classes,global_majority_class,global_majority_class_count,global_node_count,majority_class_test_count,majority_baseline_accuracy_pct,test_accuracy_pct,predicted_majority_count,predicted_majority_share_pct,dominant_predicted_class,dominant_predicted_count,dominant_predicted_share_pct,dominant_matches_global_majority,mean_max_probability_pct,correct_predictions,elapsed_sec
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,2,12347,76,226,1900,5,4,1965,7600,483,25.42105263157895,25.736842105263158,1841,96.89473684210526,4,1841,96.89473684210526,1,23.943406343460083,489,4.151623964309692
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,9,12354,7,157,1900,5,4,1965,7600,516,27.157894736842106,27.157894736842106,1858,97.78947368421052,4,1858,97.78947368421052,1,31.631329655647278,516,2.260350465774536
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,16,12361,46,196,1900,5,4,1965,7600,497,26.157894736842106,25.68421052631579,1877,98.78947368421052,4,1877,98.78947368421052,1,24.16372150182724,488,2.3968677520751953
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,23,12368,39,189,1900,5,4,1965,7600,457,24.05263157894737,23.736842105263158,1689,88.89473684210526,4,1689,88.89473684210526,1,23.571021854877472,451,2.3052899837493896
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,0,12345,152,302,1900,5,4,1965,7600,475,25.0,24.68421052631579,1410,74.21052631578948,4,1410,74.21052631578948,1,25.839951634407043,469,2.794243097305298
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,7,12352,207,357,1900,5,4,1965,7600,509,26.789473684210527,26.57894736842105,1651,86.89473684210526,4,1651,86.89473684210526,1,26.55944526195526,505,3.251049041748047
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,14,12359,101,251,1900,5,4,1965,7600,478,25.157894736842106,25.105263157894736,1527,80.36842105263158,4,1527,80.36842105263158,1,27.025681734085083,477,2.300902843475342
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,21,12366,195,345,1900,5,4,1965,7600,530,27.894736842105264,25.0,533,28.05263157894737,3,1287,67.73684210526316,0,26.48138999938965,475,3.0296237468719482
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,28,12373,28,178,1900,5,4,1965,7600,486,25.57894736842105,24.789473684210527,1652,86.94736842105263,4,1652,86.94736842105263,1,27.352288365364075,471,1.7646033763885498
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,5,12350,2,152,1900,5,4,1965,7600,536,28.210526315789473,28.210526315789473,1867,98.26315789473684,4,1867,98.26315789473684,1,70.74317932128906,536,2.8534719944000244
