point_id,figure_id,dataset,backbone,seed,val_acc,test_acc
f4_07be8c8580e7d069,4,cora,sage,12345,77.4002914428711,79.76366424560547
f4_07be8c8580e7d069,4,cora,sage,12346,76.51403045654297,74.15066528320312
f4_07be8c8580e7d069,4,cora,sage,12347,78.28656005859375,79.17282104492188
f4_07be8c8580e7d069,4,cora,sage,12348,76.80945587158203,76.51403045654297
f4_07be8c8580e7d069,4,cora,sage,12349,79.61595153808594,79.3205337524414
f4_07be8c8580e7d069,4,cora,sage,12350,74.59379577636719,71.78730010986328
f4_07be8c8580e7d069,4,cora,sage,12351,75.03692626953125,74.0029525756836
f4_07be8c8580e7d069,4,cora,sage,12352,79.02510833740234,80.50221252441406
f4_07be8c8580e7d069,4,cora,sage,12353,75.18463897705078,77.84342956542969
f4_07be8c8580e7d069,4,cora,sage,12354,78.43426513671875,77.84342956542969
f4_d242a7c2184a1809,4,cora,sage,12345,77.4002914428711,79.76366424560547
f4_d242a7c2184a1809,4,cora,sage,12346,76.51403045654297,74.15066528320312
f4_d242a7c2184a1809,4,cora,sage,12347,78.28656005859375,79.17282104492188
f4_d242a7c2184a1809,4,cora,sage,12348,76.80945587158203,76.51403045654297
f4_d242a7c2184a1809,4,cora,sage,12349,79.61595153808594,79.3205337524414
f4_d242a7c2184a1809,4,cora,sage,12350,74.59379577636719,71.19645690917969
f4_d242a7c2184a1809,4,cora,sage,12351,73.8552474975586,73.264404296875
f4_d242a7c2184a1809,4,cora,sage,12352,79.02510833740234,80.50221252441406
f4_d242a7c2184a1809,4,cora,sage,12353,75.18463897705078,77.84342956542969
f4_d242a7c2184a1809,4,cora,sage,12354,78.43426513671875,77.84342956542969
f4_60cc039190ed991d,4,cora,sage,12345,77.4002914428711,79.76366424560547
f4_60cc039190ed991d,4,cora,sage,12346,76.51403045654297,74.15066528320312
f4_60cc039190ed991d,4,cora,sage,12347,78.28656005859375,79.17282104492188
f4_60cc039190ed991d,4,cora,sage,12348,76.80945587158203,76.51403045654297
f4_60cc039190ed991d,4,cora,sage,12349,79.61595153808594,79.3205337524414
f4_60cc039190ed991d,4,cora,sage,12350,74.74150848388672,72.96897888183594
f4_60cc039190ed991d,4,cora,sage,12351,74.44608306884766,73.70753479003906
f4_60cc039190ed991d,4,cora,sage,12352,79.02510833740234,80.50221252441406
f4_60cc039190ed991d,4,cora,sage,12353,75.18463897705078,77.84342956542969
f4_60cc039190ed991d,4,cora,sage,12354,78.43426513671875,77.84342956542969
f4_c6969dd6ed3ae673,4,cora,sage,12345,77.4002914428711,79.76366424560547
f4_c6969dd6ed3ae673,4,cora,sage,12346,76.51403045654297,74.15066528320312
f4_c6969dd6ed3ae673,4,cora,sage,12347,78.28656005859375,79.17282104492188
f4_c6969dd6ed3ae673,4,cora,sage,12348,76.80945587158203,76.51403045654297
f4_c6969dd6ed3ae673,4,cora,sage,12349,79.61595153808594,79.3205337524414
f4_c6969dd6ed3ae673,4,cora,sage,12350,74.44608306884766,71.34416198730469
f4_c6969dd6ed3ae673,4,cora,sage,12351,73.70753479003906,75.03692626953125
