source,epsilon,epsilon_label,scale_exponent,norm_scale,norm_scale_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
figure5_final,1.0,$\epsilon=10^{0}$,4,16,$2^{4}$,10,10,228,1,64,0.01,0.01,0.75,none,84.69719314575195,1.5789595281645656,85.09600982666015,2.0614286806046715,83.67762069702148,86.07089920043946,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=16/smoother=hoa/backbone=sage/use_nfr=false,f4_3d55702807ea1ee4,1.0|4,1.0|4
figure5_final_add_again,1.0,$\epsilon=10^{0}$,5,32,$2^{5}$,11,10,228,4,64,0.01,0.01,0.75,none,84.91875762939453,1.5167013669280371,85.08124084472657,1.708453631177739,84.10598297119141,85.98227462768554,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=32/smoother=hoa/backbone=sage/use_nfr=false,f4_dafc8a53b03993ee,1.0|5,1.0|5
figure5_final,1.0,$\epsilon=10^{0}$,6,64,$2^{6}$,12,10,192,1,32,0.01,0.01,0.75,none,84.94830093383788,1.3864332902987395,85.22895050048828,1.4572778295259494,84.3866303062439,86.02695768356324,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=64/smoother=hoa/backbone=sage/use_nfr=false,f4_9b276c374de282bb,1.0|6,1.0|6
figure5_final_add_again,1.0,$\epsilon=10^{0}$,7,128,$2^{7}$,13,10,192,1,32,0.01,0.01,0.75,none,85.24372177124023,1.3053797321440601,85.40620346069336,1.2835607944923757,84.6971939086914,86.23375093460083,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=128/smoother=hoa/backbone=sage/use_nfr=false,f4_f810fbff8d476b03,1.0|7,1.0|7
figure5_final,1.0,$\epsilon=10^{0}$,8,256,$2^{8}$,14,10,192,5,32,0.01,0.01,0.75,none,85.28803405761718,1.3451664036785123,85.00738525390625,1.0770377899791213,84.37223052978516,85.65731050491333,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=256/smoother=hoa/backbone=sage/use_nfr=false,f4_3a485bffa076c424,1.0|8,1.0|8
figure5_final_add_again,1.0,$\epsilon=10^{0}$,9,512,$2^{9}$,15,10,120,4,8,0.01,0.01,0.75,none,85.3618896484375,1.4141337147126514,85.49482879638671,1.0737690139599805,84.88921585083008,86.15952529907227,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=512/smoother=hoa/backbone=sage/use_nfr=false,f4_c6da4d539cda7acd,1.0|9,1.0|9
figure5_final,1.0,$\epsilon=10^{0}$,10,1024,$2^{10}$,16,10,188,1,32,0.01,0.001,0.5,none,85.19940719604492,1.3712260299536643,85.25849227905273,0.8774652846112498,84.83013227462769,85.76070785522461,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=1024/smoother=hoa/backbone=sage/use_nfr=false,f4_f08f57bdb381a2df,1.0|10,1.0|10
figure5_final_add_again,1.0,$\epsilon=10^{0}$,11,2048,$2^{11}$,17,10,187,1,32,0.01,0.001,0.25,none,85.21417922973633,1.2600187535737783,85.16986541748047,0.9003734806446241,84.66764984130859,85.70199352264405,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=2048/smoother=hoa/backbone=sage/use_nfr=false,f4_a59d458970fba5df,1.0|11,1.0|11
figure5_final,1.0,$\epsilon=10^{0}$,12,4096,$2^{12}$,18,10,153,3,16,0.01,0.001,0.75,none,85.24372253417968,1.296060120575426,85.27326278686523,0.9053410163459655,84.78544925689698,85.80538942337036,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=4096/smoother=hoa/backbone=sage/use_nfr=false,f4_f18f9e5873e8e312,1.0|12,1.0|12
figure5_final_add_again,1.0,$\epsilon=10^{0}$,13,8192,$2^{13}$,19,10,184,5,32,0.01,0.0001,0.25,none,85.16986541748047,1.291844452238745,84.96307220458985,0.9019878387666191,84.43131484985352,85.50960083007813,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=8192/smoother=hoa/backbone=sage/use_nfr=false,f4_10688b6771aff3c6,1.0|13,1.0|13
figure5_final,1.0,$\epsilon=10^{0}$,14,16384,$2^{14}$,20,10,150,5,16,0.01,0.0001,0.75,none,85.24372100830078,1.250362910625379,85.27326202392578,1.1421462488677145,84.593424243927,85.98227312088012,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=16384/smoother=hoa/backbone=sage/use_nfr=false,f4_35582c3f45d59308,1.0|14,1.0|14
figure5_final_add_again,1.0,$\epsilon=10^{0}$,15,32768,$2^{15}$,21,10,146,1,16,0.01,0,0.5,none,85.0221549987793,1.363069887464117,84.9926139831543,1.0678823134603834,84.40177228927612,85.65731050491333,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=32768/smoother=hoa/backbone=sage/use_nfr=false,f4_a31bee422947d35e,1.0|15,1.0|15
figure5_final,1.0,$\epsilon=10^{0}$,16,65536,$2^{16}$,22,10,109,4,8,0.01,0,0.25,none,85.03692626953125,1.3556680763318454,85.0221549987793,1.2322985355009473,84.2976356124878,85.73116456985473,historical/paper_experiments/figure5_final/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=65536/smoother=hoa/backbone=sage/use_nfr=false,f4_e2a3ad6b73ae4214,1.0|16,1.0|16
figure5_final_add_again,1.0,$\epsilon=10^{0}$,17,131072,$2^{17}$,23,10,110,2,8,0.01,0,0.5,none,85.08123931884765,1.2180513783006175,84.93353042602538,0.9598027014129105,84.3870018005371,85.52437135696411,historical/paper_experiments/figure5_final_add_again/figure5.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1/m=best/norm=true/norm_scale=131072/smoother=hoa/backbone=sage/use_nfr=false,f4_b19ed412b9cef55e,1.0|17,1.0|17
