point_id,figure_id,dataset,backbone,seed,val_acc,test_acc,source_job_id
f5_fac01d89a591f5e0,5,cora,sage,12349,79.3205337524414,78.87740325927734,f00df2f9c90b
f5_fac01d89a591f5e0,5,cora,sage,12350,74.88921356201172,68.98079681396484,f00df2f9c90b
f5_fac01d89a591f5e0,5,cora,sage,12351,74.15066528320312,74.29837799072266,f00df2f9c90b
f5_fac01d89a591f5e0,5,cora,sage,12352,79.02510833740234,80.79763793945312,f00df2f9c90b
f5_fac01d89a591f5e0,5,cora,sage,12353,75.62776947021484,77.10487365722656,f00df2f9c90b
f5_fac01d89a591f5e0,5,cora,sage,12354,78.28656005859375,77.99113464355469,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12345,77.10487365722656,79.4682388305664,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12346,77.10487365722656,73.8552474975586,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12347,78.43426513671875,77.54800415039062,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12348,77.4002914428711,77.54800415039062,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12349,80.05908203125,79.02510833740234,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12350,74.88921356201172,71.34416198730469,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12351,74.15066528320312,74.29837799072266,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12352,79.02510833740234,76.80945587158203,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12353,75.62776947021484,77.69571685791016,f00df2f9c90b
f5_e1fc189944e585a2,5,cora,sage,12354,78.13884735107422,78.72969055175781,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12345,77.2525863647461,79.61595153808594,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12346,76.80945587158203,74.0029525756836,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12347,78.87740325927734,78.43426513671875,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12348,77.10487365722656,78.43426513671875,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12349,79.911376953125,78.87740325927734,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12350,75.03692626953125,71.34416198730469,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12351,74.59379577636719,76.21861267089844,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12352,79.17282104492188,76.51403045654297,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12353,75.03692626953125,77.54800415039062,f00df2f9c90b
f5_aabd69c57b7332ab,5,cora,sage,12354,78.43426513671875,77.84342956542969,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12345,77.10487365722656,80.20679473876953,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12346,77.69571685791016,76.0708999633789,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12347,78.72969055175781,78.28656005859375,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12348,76.51403045654297,78.13884735107422,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12349,80.35450744628906,79.02510833740234,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12350,75.48005676269531,70.0147705078125,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12351,76.21861267089844,76.6617431640625,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12352,79.17282104492188,76.80945587158203,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12353,75.18463897705078,78.28656005859375,f00df2f9c90b
f5_006d9afd68260194,5,cora,sage,12354,78.13884735107422,77.99113464355469,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12345,77.54800415039062,79.4682388305664,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12346,77.54800415039062,76.6617431640625,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12347,78.58197784423828,78.43426513671875,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12348,77.99113464355469,78.28656005859375,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12349,80.6499252319336,79.3205337524414,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12350,75.92318725585938,72.37813568115234,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12351,75.77548217773438,76.36632537841797,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12352,79.4682388305664,77.2525863647461,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12353,75.48005676269531,77.99113464355469,f00df2f9c90b
f5_a032a495509ee05f,5,cora,sage,12354,78.13884735107422,77.99113464355469,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12345,79.02510833740234,79.4682388305664,f00df2f9c90b
