source,epsilon,epsilon_label,tao2,delta,delta_label,x_index,n,candidate_id,verify_ranks,x_steps,learning_rate,weight_decay,dropout,candidate_tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,point_id
figure6_add,0.001,$\epsilon=10^{-3}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.999877929688,84.7119644165039,1.7243432929606763,84.83013229370117,1.9695332622623467,83.4412857055664,85.76070785522461,f5_339b1d156a1ca0b5
figure6_add,0.001,$\epsilon=10^{-3}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,228,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.75,0.999938964844,84.90398559570312,1.692486436207376,84.7267333984375,1.966023576646713,83.50036695480347,85.7906181526184,f5_3ec641e471326965
figure6_add_again,0.001,$\epsilon=10^{-3}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,226,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.25,0.999969482422,84.81536026000977,1.3605763356877318,85.16986618041992,1.1841436798123672,84.49002838134766,85.87887649536133,f5_e8f6a8359c9a5df3
figure6_add_again,0.001,$\epsilon=10^{-3}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,204,5|5|5|5|5|5|5|5|5|5,32,0.001,0.01,0.75,0.999984741211,85.02215576171875,1.560427612361282,85.12555389404297,1.1590010821682066,84.4457160949707,85.70199356079102,f5_0a02cf42bb4abb1d
figure6,0.01,$\epsilon=10^{-2}$,0.5,0.5,$2^{-1}$,0,10,88,4|4|4|4|4|4|4|4|4|4,4,0.001,0.0001,0.25,0.5,77.13441696166993,2.0118527095124974,77.00147705078125,2.935317836934127,75.19903869628907,78.61152267456055,f5_05715f2d2f3f6837
figure6,0.01,$\epsilon=10^{-2}$,0.75,0.25,$2^{-2}$,1,10,94,2|2|2|2|2|2|2|2|2|2,4,0.001,0.01,0.25,0.75,77.2821273803711,2.0712278474191548,76.3220100402832,2.8634089764337394,74.50480115890502,77.8585693359375,f5_bc39eb2c8b1f32fd
figure6,0.01,$\epsilon=10^{-2}$,0.875,0.125,$2^{-3}$,2,10,94,5|5|5|5|5|5|5|5|5|5,4,0.001,0.01,0.25,0.875,77.57754821777344,1.938205149939837,77.40029525756836,2.7156252014098534,75.68685300827026,78.84785844802856,f5_fead86d1c3bb5794
figure6,0.01,$\epsilon=10^{-2}$,0.9375,0.0625,$2^{-4}$,3,10,211,5|5|5|5|5|5|5|5|5|5,32,0.0001,0.001,0.25,0.9375,76.52880325317383,3.0964056455126827,77.19350051879883,3.462857140708858,75.1403259086609,79.17318956375122,f5_e688bd0ae9b8f6fc
figure6,0.01,$\epsilon=10^{-2}$,0.96875,0.03125,$2^{-5}$,4,10,250,5|5|5|5|5|5|5|5|5|5,64,0.0001,0.01,0.25,0.96875,81.43279113769532,1.9522255977866891,82.23042678833008,1.9057256472877337,81.19460674285888,83.41247941970825,f5_50841de2b9019571
figure6,0.01,$\epsilon=10^{-2}$,0.984375,0.015625,$2^{-6}$,5,10,242,4|4|4|4|4|4|4|4|4|4,64,0.0001,0,0.5,0.984375,83.35302658081055,1.094453974017885,83.72230453491211,1.3078836930258797,82.93906938552855,84.50517044067382,f5_54c08c16c5816977
figure6,0.01,$\epsilon=10^{-2}$,0.9921875,0.0078125,$2^{-7}$,6,10,206,2|2|2|2|2|2|2|2|2|2,32,0.0001,0,0.5,0.9921875,83.72230224609375,0.8203507805856963,84.26883163452149,1.465984128669375,83.48596649169922,85.2592300605774,f5_e7b060ebc2ca1821
figure6,0.01,$\epsilon=10^{-2}$,0.99609375,0.00390625,$2^{-8}$,7,10,227,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.5,0.99609375,84.65288009643555,1.1366135967455087,84.62333602905274,1.0220648388786333,83.9881805419922,85.19940643310547,f5_d428e96a23e2c8f0
figure6,0.01,$\epsilon=10^{-2}$,0.998046875,0.001953125,$2^{-9}$,8,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.998046875,84.91875839233398,1.1988944726381858,84.84490432739258,1.5274521513769714,84.04726791381836,85.68759309768677,f5_c013194202972c17
figure6_add,0.01,$\epsilon=10^{-2}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.9990234375,84.80058975219727,1.8806271263593026,84.97784194946288,1.9732243568911345,83.6923911857605,85.95273208618164,f5_cbbd2136d85c0c07
figure6_add,0.01,$\epsilon=10^{-2}$,0.99951171875,0.00048828125,$2^{-11}$,10,10,226,4|4|4|4|4|4|4|4|4|4,64,0.01,0.01,0.25,0.99951171875,84.35745697021484,1.8611906998797136,84.43131408691406,1.1036078589686995,83.72230451583863,85.03692705154418,f5_eebfb20de136210c
figure6_add,0.01,$\epsilon=10^{-2}$,0.999755859375,0.000244140625,$2^{-12}$,11,10,226,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.25,0.999755859375,84.81536026000977,1.5582497166718803,85.14032363891602,1.3487668293007846,84.31277542114258,85.93796081542969,f5_d9d5bec8bb1f40b5
figure6_add,0.01,$\epsilon=10^{-2}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,192,5|5|5|5|5|5|5|5|5|5,32,0.01,0.01,0.75,0.999877929688,84.99261322021485,1.2729412521820986,84.94830017089843,1.3201530323295947,84.16543577194214,85.6573112487793,f5_e6db845544e5774a
figure6_add,0.01,$\epsilon=10^{-2}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,191,4|4|4|4|4|4|4|4|4|4,32,0.01,0.01,0.5,0.999938964844,85.14032440185547,1.293720146333287,85.21417922973633,1.1194196512543064,84.53434295654297,85.84970321655274,f5_25d12c7d7c49e662
figure6_add_again,0.01,$\epsilon=10^{-2}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,120,1|1|1|1|1|1|1|1|1|1,8,0.01,0.01,0.75,0.999969482422,85.09601058959962,1.1429947499760362,85.42097549438476,1.1484964118260403,84.81499252319335,86.12998580932617,f5_736931a7ccfe9155
figure6_add_again,0.01,$\epsilon=10^{-2}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,119,2|2|2|2|2|2|2|2|2|2,8,0.01,0.01,0.5,0.999984741211,84.96307144165038,1.168894111686225,85.42097473144531,1.105473226845022,84.78582000732422,86.02658767700196,f5_243329a4e44ceed3
figure6,0.1,$\epsilon=10^{-1}$,0.5,0.5,$2^{-1}$,0,10,94,5|5|5|5|5|5|5|5|5|5,4,0.001,0.01,0.25,0.5,77.54800491333008,2.199733978148447,77.40029602050781,2.704890174895911,75.73005905151368,78.92282182693482,f5_120fb4aee2b4c4d9
figure6,0.1,$\epsilon=10^{-1}$,0.75,0.25,$2^{-2}$,1,10,244,5|5|5|5|5|5|5|5|5|5,64,0.0001,0.0001,0.25,0.75,82.05317459106445,1.9722404687031403,82.80649795532227,1.7999411451472862,81.83123929977417,83.79689712524414,f5_166954ab3b465439
figure6,0.1,$\epsilon=10^{-1}$,0.875,0.125,$2^{-3}$,2,10,250,3|3|3|3|3|3|3|3|3|3,64,0.0001,0.01,0.25,0.875,83.75184555053711,0.8971372498569004,84.51994171142579,1.1071177857097811,83.94387052536011,85.16986772537231,f5_29577aaf38de5d3f
figure6,0.1,$\epsilon=10^{-1}$,0.9375,0.0625,$2^{-4}$,3,10,195,4|4|4|4|4|4|4|4|4|4,32,0.001,0,0.75,0.9375,82.93943786621094,1.9561942749839327,83.75184707641601,1.304543824915183,82.98338317871094,84.57902603149414,f5_6a3e957b8dba31fb
figure6,0.1,$\epsilon=10^{-1}$,0.96875,0.03125,$2^{-5}$,4,10,228,2|2|2|2|2|2|2|2|2|2,64,0.01,0.01,0.75,0.96875,84.91875839233398,1.3723739144043345,84.80058975219727,1.2522991274323656,84.03249588012696,85.5095993232727,f5_b1abe5d5251d02fd
figure6,0.1,$\epsilon=10^{-1}$,0.984375,0.015625,$2^{-6}$,5,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.984375,84.88921585083008,1.2650125585061127,84.94829940795898,0.9634580716692266,84.37185897827148,85.45088499069215,f5_755b10f418b0339a
figure6,0.1,$\epsilon=10^{-1}$,0.9921875,0.0078125,$2^{-7}$,6,10,228,3|3|3|3|3|3|3|3|3|3,64,0.01,0.01,0.75,0.9921875,84.87444534301758,2.104203002923788,84.68241958618164,2.0680052530760187,83.22008666992187,85.74630504608155,f5_9967ec95158dc233
figure6,0.1,$\epsilon=10^{-1}$,0.99609375,0.00390625,$2^{-8}$,7,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.99609375,84.90398635864258,1.270272484961721,85.0960090637207,1.1866994131705708,84.28360214233399,85.7163932800293,f5_3964ba2d1566b5e4
figure6,0.1,$\epsilon=10^{-1}$,0.998046875,0.001953125,$2^{-9}$,8,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.998046875,85.0516975402832,1.2721795322635538,85.3028060913086,1.0072515164962292,84.69719388961792,85.8792457962036,f5_51e948e036779822
figure6_add,0.1,$\epsilon=10^{-1}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,190,1|1|1|1|1|1|1|1|1|1,32,0.01,0.01,0.25,0.9990234375,85.22894897460938,1.3229955019361959,85.6277687072754,1.0877890763849334,84.9922424507141,86.24815216064454,f5_efaefcfbc5829fbf
figure6_add,0.1,$\epsilon=10^{-1}$,0.99951171875,0.00048828125,$2^{-11}$,10,10,156,5|5|5|5|5|5|5|5|5|5,16,0.01,0.01,0.75,0.99951171875,85.37666168212891,1.450607014692261,85.50960006713868,1.0149243109872434,84.91838762283325,86.07127071380614,f5_8d1b9d9ad1c5be49
figure6_add,0.1,$\epsilon=10^{-1}$,0.999755859375,0.000244140625,$2^{-12}$,11,10,119,2|2|2|2|2|2|2|2|2|2,8,0.01,0.01,0.5,0.999755859375,85.09600982666015,1.252301297184571,85.28803405761718,0.9852298846565887,84.71159288406372,85.80502166748047,f5_08efd45df11fbab3
figure6_add,0.1,$\epsilon=10^{-1}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,153,5|5|5|5|5|5|5|5|5|5,16,0.01,0.001,0.75,0.999877929688,85.08124084472657,1.6240694552984025,85.56868438720703,0.8863997409717137,85.06646879196167,86.10081251144409,f5_c255b55f3abff83a
figure6_add,0.1,$\epsilon=10^{-1}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,189,2|2|2|2|2|2|2|2|2|2,32,0.01,0.001,0.75,0.999938964844,85.24372100830078,1.4003514203528291,85.21417999267578,1.0196882499119588,84.60856781005859,85.83493417739868,f5_e16256f8e292b93d
figure6_add_again,0.1,$\epsilon=10^{-1}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,152,5|5|5|5|5|5|5|5|5|5,16,0.01,0.001,0.5,0.999969482422,85.18463668823242,1.1919988694041048,85.64253997802734,1.091682168922533,85.0221549987793,86.26329347610474,f5_eec4ab126e50f8b6
figure6_add_again,0.1,$\epsilon=10^{-1}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,185,1|1|1|1|1|1|1|1|1|1,32,0.01,0.0001,0.5,0.999984741211,85.16986618041992,1.3011948645154197,85.30280456542968,0.9005092820905276,84.7710464477539,85.86410446166992,f5_9213cf5660cdee87
figure6,1,$\epsilon=10^{0}$,0.5,0.5,$2^{-1}$,0,10,242,2|2|2|2|2|2|2|2|2|2,64,0.0001,0,0.5,0.5,83.92909927368164,1.0109744497155404,84.43131408691406,1.167649386562259,83.82570114135743,85.11078109741212,f5_e0ae7c73c6ec9c11
figure6,1,$\epsilon=10^{0}$,0.75,0.25,$2^{-2}$,1,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.75,84.87444458007812,1.0285661093760416,85.06646881103515,1.5639172032498203,84.06203840255738,85.90841751098633,f5_09ce289c73489015
figure6,1,$\epsilon=10^{0}$,0.875,0.125,$2^{-3}$,2,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.875,85.03692626953125,1.2061511149406308,85.31757583618165,1.247936691795341,84.54911195755004,85.98227310180664,f5_40665ae0c7c80a2c
figure6,1,$\epsilon=10^{0}$,0.9375,0.0625,$2^{-4}$,3,10,228,1|1|1|1|1|1|1|1|1|1,64,0.01,0.01,0.75,0.9375,84.69719314575195,1.5789595281645656,85.09600982666015,2.0614286806046715,83.81056058883667,86.12998275756836,f5_da3439c9b3ce4b5a
figure6,1,$\epsilon=10^{0}$,0.96875,0.03125,$2^{-5}$,4,10,228,4|4|4|4|4|4|4|4|4|4,64,0.01,0.01,0.75,0.96875,84.91875762939453,1.5167013669280371,85.08124084472657,1.708453631177739,84.06203916549683,86.04209823608399,f5_3ab88b27f493d267
figure6,1,$\epsilon=10^{0}$,0.984375,0.015625,$2^{-6}$,5,10,192,1|1|1|1|1|1|1|1|1|1,32,0.01,0.01,0.75,0.984375,84.94830093383788,1.3864332902987395,85.22895050048828,1.4572778295259494,84.3870002746582,86.0860412788391,f5_69df678e5ff8c22b
figure6,1,$\epsilon=10^{0}$,0.9921875,0.0078125,$2^{-7}$,6,10,192,1|1|1|1|1|1|1|1|1|1,32,0.01,0.01,0.75,0.9921875,85.25849227905273,1.3078843632002544,85.40620269775391,1.25491074242992,84.7267333984375,86.189436378479,f5_870f96433b0ed7f8
figure6,1,$\epsilon=10^{0}$,0.99609375,0.00390625,$2^{-8}$,7,10,192,5|5|5|5|5|5|5|5|5|5,32,0.01,0.01,0.75,0.99609375,85.28803405761718,1.3451664036785123,84.9926139831543,1.05647077829151,84.4017723083496,85.59822618484496,f5_885d039fcdc1581f
figure6,1,$\epsilon=10^{0}$,0.998046875,0.001953125,$2^{-9}$,8,10,120,4|4|4|4|4|4|4|4|4|4,8,0.01,0.01,0.75,0.998046875,85.3618896484375,1.4141337147126514,85.49482879638671,1.0961140033758237,84.84490280151367,86.14475404739379,f5_cf9cf305a4d0c2a4
figure6_add,1,$\epsilon=10^{0}$,0.9990234375,0.0009765625,$2^{-10}$,9,10,188,1|1|1|1|1|1|1|1|1|1,32,0.01,0.001,0.5,0.9990234375,85.19940719604492,1.3641357593410737,85.12555236816407,1.021114947990475,84.59342498779297,85.76070709228516,f5_de8be1248648ce0e
figure6_add,1,$\epsilon=10^{0}$,0.99951171875,0.00048828125,$2^{-11}$,10,10,187,1|1|1|1|1|1|1|1|1|1,32,0.01,0.001,0.25,0.99951171875,85.21417922973633,1.2600187535737783,85.16986541748047,0.9003734806446241,84.69719234466552,85.73116455078124,f5_2651e0d8f611e10c
figure6_add,1,$\epsilon=10^{0}$,0.999755859375,0.000244140625,$2^{-12}$,11,10,151,2|2|2|2|2|2|2|2|2|2,16,0.01,0.001,0.25,0.999755859375,85.25849304199218,1.3171185723199945,85.37666015625,0.9496463936210757,84.81536026000977,85.99704439163207,f5_1408c8010118d1c9
figure6_add,1,$\epsilon=10^{0}$,0.9998779296875,0.0001220703125,$2^{-13}$,12,10,184,5|5|5|5|5|5|5|5|5|5,32,0.01,0.0001,0.25,0.999877929688,85.15509414672852,1.299422555565075,84.97784271240235,0.8614325349024021,84.50480041503906,85.5243698310852,f5_2bda881966a4d77b
figure6_add,1,$\epsilon=10^{0}$,0.99993896484375,0.00006103515625,$2^{-14}$,13,10,113,5|5|5|5|5|5|5|5|5|5,8,0.01,0.0001,0.5,0.999938964844,85.00738372802735,1.2825225223706416,85.21417922973633,1.161927229235873,84.53471143722534,85.89364852905274,f5_55c171b6a7e34404
figure6_add_again,1,$\epsilon=10^{0}$,0.999969482421875,0.000030517578125,$2^{-15}$,14,10,146,1|1|1|1|1|1|1|1|1|1,16,0.01,0,0.5,0.999969482422,84.99261322021485,1.3306719731518264,84.93352966308593,0.9445250999518046,84.38700101852417,85.49519878387451,f5_a3bce80453f1a43d
figure6_add_again,1,$\epsilon=10^{0}$,0.9999847412109375,0.0000152587890625,$2^{-16}$,15,10,109,4|4|4|4|4|4|4|4|4|4,8,0.01,0,0.25,0.999984741211,85.03692626953125,1.3556680763318454,85.00738372802735,1.210564950780421,84.25406036376953,85.70162202835083,f5_d2b1eeaa3b98c270
