point_id,figure_id,dataset,backbone,seed,val_acc,test_acc
f1_2bcf9b4e3e00214c,1,citeseer,gat,12349,68.14904022216797,68.14904022216797
f1_2bcf9b4e3e00214c,1,citeseer,gat,12350,67.54808044433594,66.46634674072266
f1_2bcf9b4e3e00214c,1,citeseer,gat,12351,69.11058044433594,66.8269271850586
f1_2bcf9b4e3e00214c,1,citeseer,gat,12352,70.67308044433594,67.42788696289062
f1_2bcf9b4e3e00214c,1,citeseer,gat,12353,71.27404022216797,68.14904022216797
f1_2bcf9b4e3e00214c,1,citeseer,gat,12354,67.42788696289062,67.90865325927734
f1_b7c18359d6b9f011,1,citeseer,gat,12345,69.11058044433594,68.3894271850586
f1_b7c18359d6b9f011,1,citeseer,gat,12346,69.35096740722656,69.59134674072266
f1_b7c18359d6b9f011,1,citeseer,gat,12347,69.83173370361328,68.26923370361328
f1_b7c18359d6b9f011,1,citeseer,gat,12348,69.9519271850586,67.90865325927734
f1_b7c18359d6b9f011,1,citeseer,gat,12349,68.14904022216797,67.78846740722656
f1_b7c18359d6b9f011,1,citeseer,gat,12350,66.8269271850586,66.58654022216797
f1_b7c18359d6b9f011,1,citeseer,gat,12351,69.83173370361328,66.34615325927734
f1_b7c18359d6b9f011,1,citeseer,gat,12352,71.15384674072266,68.02884674072266
f1_b7c18359d6b9f011,1,citeseer,gat,12353,70.67308044433594,68.02884674072266
f1_b7c18359d6b9f011,1,citeseer,gat,12354,67.90865325927734,68.75
f1_0a6cf97fc0f2149a,1,citeseer,gat,12345,69.47115325927734,69.47115325927734
f1_0a6cf97fc0f2149a,1,citeseer,gat,12346,68.87019348144531,68.75
f1_0a6cf97fc0f2149a,1,citeseer,gat,12347,69.35096740722656,66.10577392578125
f1_0a6cf97fc0f2149a,1,citeseer,gat,12348,69.9519271850586,66.58654022216797
f1_0a6cf97fc0f2149a,1,citeseer,gat,12349,67.54808044433594,66.22596740722656
f1_0a6cf97fc0f2149a,1,citeseer,gat,12350,66.8269271850586,67.42788696289062
f1_0a6cf97fc0f2149a,1,citeseer,gat,12351,69.47115325927734,67.54808044433594
f1_0a6cf97fc0f2149a,1,citeseer,gat,12352,70.91346740722656,68.3894271850586
f1_0a6cf97fc0f2149a,1,citeseer,gat,12353,69.59134674072266,68.87019348144531
