table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table6,FeatFree-HOA,cora,gat,800,hoa,12345,81.38848114013672,85.81979370117188
table6,FeatFree-HOA,cora,gat,800,hoa,12346,87.14918518066406,84.49039459228516
table6,FeatFree-HOA,cora,gat,800,hoa,12347,84.49039459228516,83.75184631347656
table6,FeatFree-HOA,cora,gat,800,hoa,12348,86.55834197998047,84.34268951416016
table6,FeatFree-HOA,cora,gat,800,hoa,12349,83.8995590209961,83.60413360595703
table6,FeatFree-HOA,cora,gat,800,hoa,12350,83.75184631347656,84.34268951416016
table6,FeatFree-HOA,cora,gat,800,hoa,12351,84.93353271484375,84.63810729980469
table6,FeatFree-HOA,cora,gat,800,hoa,12352,85.37666320800781,85.52436828613281
table6,FeatFree-HOA,cora,gat,800,hoa,12353,83.16100311279297,86.26292419433594
table6,FeatFree-HOA,cora,gat,800,hoa,12354,84.49039459228516,86.55834197998047
table6,FeatFree-HOA,cora,gat,1600,hoa,12345,82.42245483398438,85.22895050048828
table6,FeatFree-HOA,cora,gat,1600,hoa,12346,86.41063690185547,84.63810729980469
table6,FeatFree-HOA,cora,gat,1600,hoa,12347,85.37666320800781,86.26292419433594
table6,FeatFree-HOA,cora,gat,1600,hoa,12348,87.14918518066406,85.67208099365234
table6,FeatFree-HOA,cora,gat,1600,hoa,12349,85.37666320800781,83.75184631347656
table6,FeatFree-HOA,cora,gat,1600,hoa,12350,82.86558532714844,84.34268951416016
table6,FeatFree-HOA,cora,gat,1600,hoa,12351,84.63810729980469,84.19497680664062
table6,FeatFree-HOA,cora,gat,1600,hoa,12352,85.52436828613281,86.26292419433594
table6,FeatFree-HOA,cora,gat,1600,hoa,12353,83.75184631347656,85.52436828613281
table6,FeatFree-HOA,cora,gat,1600,hoa,12354,85.96749877929688,87.14918518066406
table6,FeatFree-HOA,cora,gat,3200,hoa,12345,82.7178726196289,85.08123779296875
table6,FeatFree-HOA,cora,gat,3200,hoa,12346,87.88774108886719,84.78582000732422
table6,FeatFree-HOA,cora,gat,3200,hoa,12347,85.08123779296875,85.81979370117188
table6,FeatFree-HOA,cora,gat,3200,hoa,12348,88.18315887451172,86.55834197998047
table6,FeatFree-HOA,cora,gat,3200,hoa,12349,85.37666320800781,84.78582000732422
table6,FeatFree-HOA,cora,gat,3200,hoa,12350,83.4564208984375,83.16100311279297
table6,FeatFree-HOA,cora,gat,3200,hoa,12351,83.8995590209961,84.34268951416016
table6,FeatFree-HOA,cora,gat,3200,hoa,12352,85.96749877929688,86.1152114868164
table6,FeatFree-HOA,cora,gat,3200,hoa,12353,84.93353271484375,85.08123779296875
table6,FeatFree-HOA,cora,gat,3200,hoa,12354,85.08123779296875,86.26292419433594
table6,FeatFree-HOA,lastfm,gat,800,hoa,12345,89.32806396484375,88.19876098632812
table6,FeatFree-HOA,lastfm,gat,800,hoa,12346,88.4810791015625,88.98927307128906
table6,FeatFree-HOA,lastfm,gat,800,hoa,12347,88.65047454833984,88.87633514404297
table6,FeatFree-HOA,lastfm,gat,800,hoa,12348,88.53755187988281,89.21512603759766
table6,FeatFree-HOA,lastfm,gat,800,hoa,12349,89.21512603759766,86.90005493164062
table6,FeatFree-HOA,lastfm,gat,800,hoa,12350,88.08582305908203,89.38452911376953
table6,FeatFree-HOA,lastfm,gat,800,hoa,12351,88.14229583740234,88.08582305908203
table6,FeatFree-HOA,lastfm,gat,800,hoa,12352,87.972900390625,87.972900390625
table6,FeatFree-HOA,lastfm,gat,800,hoa,12353,88.70694732666016,87.12591552734375
table6,FeatFree-HOA,lastfm,gat,800,hoa,12354,89.38452911376953,87.52117156982422
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12345,89.32806396484375,87.972900390625
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12346,88.31168365478516,88.5940170288086
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12347,88.98927307128906,88.5940170288086
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12348,88.4810791015625,88.87633514404297
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12349,88.76341247558594,86.3918685913086
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12350,87.972900390625,89.10220336914062
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12351,88.08582305908203,88.31168365478516
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12352,87.80349731445312,88.14229583740234
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12353,88.31168365478516,87.52117156982422
table6,FeatFree-HOA,lastfm,gat,1600,hoa,12354,89.38452911376953,87.972900390625
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12345,89.1586685180664,87.35177612304688
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12346,88.53755187988281,88.87633514404297
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12347,89.04573059082031,88.31168365478516
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12348,88.81986999511719,89.21512603759766
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12349,89.1586685180664,86.78712463378906
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12350,87.972900390625,89.1586685180664
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12351,88.36815643310547,88.19876098632812
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12352,88.36815643310547,88.25521850585938
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12353,88.76341247558594,87.63410186767578
table6,FeatFree-HOA,lastfm,gat,3200,hoa,12354,89.72332000732422,87.35177612304688
table6,FeatFree-HOA,citeseer,gat,800,hoa,12345,68.87019348144531,71.99519348144531
table6,FeatFree-HOA,citeseer,gat,800,hoa,12346,69.47115325927734,68.5096206665039
table6,FeatFree-HOA,citeseer,gat,800,hoa,12347,71.5144271850586,67.66827392578125
table6,FeatFree-HOA,citeseer,gat,800,hoa,12348,68.62981414794922,67.06730651855469
table6,FeatFree-HOA,citeseer,gat,800,hoa,12349,65.98558044433594,68.75
table6,FeatFree-HOA,citeseer,gat,800,hoa,12350,61.77885055541992,63.46154022216797
table6,FeatFree-HOA,citeseer,gat,800,hoa,12351,63.94230651855469,62.259620666503906
table6,FeatFree-HOA,citeseer,gat,800,hoa,12352,71.03365325927734,67.30769348144531
table6,FeatFree-HOA,citeseer,gat,800,hoa,12353,69.71154022216797,69.11058044433594
table6,FeatFree-HOA,citeseer,gat,800,hoa,12354,66.8269271850586,67.54808044433594
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12345,69.71154022216797,72.23558044433594
